question,links,summary,answers,votes,tags
Generic Angular Components - Optional Bindings,https://stackoverflow.com/questions/36024412,I want to create a bunch of generic component (angular 1.5) with multiple optional binding that would be used inside multiple applications. I am afraid it will create a lot of unnecessary watchers ...,5,41,javascript angularjs angularjs-directive
Textarea resizes and triggers best_in_place blur event,https://stackoverflow.com/questions/17293272,"I'm using the best_in_place gem on several textareas and sometimes (seemingly randomly) the textarea 'jumps' and triggers the blur event when I click save, prompting the ""discard your changes&...",4,38,javascript html ruby-on-rails ruby-on-rails-3.2
Can't access prototype function in jQuery plugin,https://stackoverflow.com/questions/34421989,"I'm trying to create an image gallery consisting of multiple 360 degree images. I wanted to use Valiant360 for this, since it seemed to do all I needed it to do. The initiation through Angular ...",1,35,javascript jquery angularjs
"Why does Chrome run transform animation on the main thread in some cases, and not in others?",https://stackoverflow.com/questions/55507749,"What is the criteria? In the following example, I am animating CSS transform, and when you click anywhere (while in Google Chrome) the animation is blocked by a 2-second-long while loop. Why is the ...",0,32,javascript css css-transitions css-animations css-transforms
"How to include zone.js, reflect-metadata etc. in Systemjs builder task?",https://stackoverflow.com/questions/40528480,"I'm using system.js and systemjs builder to create a dist folder with all the packed javascript files of my angular2 application. It works pretty nicely, except that it does not include the following ...",1,32,javascript angular systemjs systemjs-builder
Isotope v2 filtering with Infinite Scroll - Filter not finding all items and Window not resizing on filter,https://stackoverflow.com/questions/23895457,"Head's up! There's a pending feature-request issue on Isotope's GitHub repo that you should add a ""👍"" reaction to if you're interested in seeing official docs and demos for this (how to combine ...",1,32,javascript jquery filter jquery-isotope infinite-scroll
Karma reload debug.html on test file changes,https://stackoverflow.com/questions/36606741,"When running Karma with autoWatch: true and singleRun: false, any change to my unit test files causes the tests to be re-run, and refreshes the Karma webpage at localhost:9876: The problem is that ...",1,29,javascript webpack karma-runner
"Visual Studio 2017, JavaScript intellisense inconsistencies",https://stackoverflow.com/questions/43079954,"TL;DR: How do you include a tsconfig.json file in Visual Studio 2017 and still have JavaScript intellisense work like it does by default, giving code hints both for your own code and 3rd-party ...",2,28,javascript typescript intellisense visual-studio-2017 tsconfig
WKWebView loads HTML content too slowly in iOS9 using swift,https://stackoverflow.com/questions/35082806,"I have been trying to integrate the WKWebView as a subview of another webview in a UIViewController. I've been able to load the content and communicate properly with the swift and javascript. However, ...",0,27,javascript ios swift2 ios9 wkwebview
"swf respondDecisionTaskCompleted call, response time degrade overtime",https://stackoverflow.com/questions/42464585,We have a decided worker running and as the time goes we noticed the response time of the respondDecisionTaskCompleted call was getting slower and slower. We tried using the same instance of SWF ...,0,25,javascript flash aws-sdk
